"","Dim.1","Dim.2","Dim.3"
"52",0.52670276931629,1.02332017632101,-0.517845040070265
"53",-0.263516217923184,0.788195565400116,-0.643139347587414
"54",-0.0378161194521998,1.36892800602244,-0.130182574436646
"55",0.807149452242081,-0.259460146780673,0.290568866145499
"56",-0.183661462588865,0.316429383249079,-0.680294550295489
"57",0.821065699643039,0.115334890999824,-0.143398763713185
"58",-0.372960926027516,0.942044332911426,-0.55479119545167
"59",-0.377777704007713,0.863940712219264,0.595199950365059
"60",0.977725547637149,-0.29860510091301,-0.0128618984772473
"61",-0.578018296223405,0.664621749029752,-0.0728051161267519
"62",1.06457866960295,-0.248109220995922,-0.041637205775386
"63",0.244950248960798,-0.300268962822758,-0.536064484037283
"64",0.911004855478289,-0.0910458727120274,0.449016967686206
"65",1.29664723297682,-0.0740415945989316,-0.0486450331869445
"66",0.623589680947166,-0.416407944490223,0.261720557398739
"67",0.772537461419558,-0.187459122989719,-0.263897479503047
"68",-0.309050524977405,-2.10257215569197,-1.47138514216275
"69",0.360243951022714,-0.244788740141665,0.141848050226309
"70",1.17365823416852,0.087737096150118,0.408550370820873
"71",0.124055940048517,0.233765617620068,0.234188507428398
"72",0.905516878832757,-0.351285197008768,-0.00803678193537088
"73",0.143894021823845,0.274444287559083,-0.37171901074051
"74",0.816639832872255,-0.214899215387551,0.35712296172867
"75",1.02556932558576,-0.205686806670509,0.0875045913108344
"76",0.827228760038124,-0.17255458130788,0.418216502754948
"77",0.719654076832718,-0.219175645740985,0.482280693925814
"78",0.199699363157079,-1.05733787860648,-0.302053497081299
"79",-0.758768523144722,0.549368993288581,-0.580960892256996
"80",-2.32100291805197,1.07237907996911,-0.822115380542684
"81",-0.305105004822214,-2.10239818434977,-1.47647673885825
"82",-4.03369702262671,-0.791326205078514,1.12307170819109
"83",0.86137381211141,-0.303735442870381,0.137287153819328
"84",1.25963611255832,0.028694326811141,0.185429845465963
"85",-0.306376984412962,-2.10245427023654,-1.4748352804887
"86",-0.00557852493181173,0.67239035627403,0.171097456120629
"87",1.17594391933185,-0.243198750080335,-0.185351320824975
"88",-0.404931531789542,0.181456182447242,-0.745120299334909
"89",0.879875176936862,-0.302919655054206,0.113411597668984
"90",1.13705474100329,-0.158893304813404,0.0183936964291611
"91",0.712503966863446,0.827856799579558,0.401650263030411
"92",0.651950628325537,-0.362465791505896,0.319184226294736
"93",1.39254713988421,0.261223586817916,0.418550567381006
"94",0.431362426256354,-0.541716687884661,0.301220323341567
